Year,Month,Day,Hour,TwitterVolume
2011,10,19,10,101668
2011,10,19,11,92619
2011,10,19,12,88677
2011,10,19,13,92228
2011,10,19,14,96289
2011,10,19,15,98680
2011,10,19,16,106095
2011,10,19,17,109728
2011,10,19,18,110010
2011,10,19,19,109210
2011,10,19,20,100439
2011,10,19,21,89791
2011,10,19,22,73589
2011,10,19,23,58119
2011,10,20,00,50925
2011,10,20,01,47662
2011,10,20,02,51117
2011,10,20,03,53929
2011,10,20,04,62548
2011,10,20,05,75089
2011,10,20,06,88766
2011,10,20,07,100674
2011,10,20,08,109461
2011,10,20,09,109495
2011,10,20,10,97942
2011,10,20,11,91621
2011,10,20,12,86254
2011,10,20,13,88162
2011,10,20,14,90601
2011,10,20,15,96054
2011,10,20,16,102089
2011,10,20,17,106959
2011,10,20,18,104206
2011,10,20,19,108989
2011,10,20,20,99798
2011,10,20,21,90453
2011,10,20,22,70295
2011,10,20,23,60279
2011,10,21,00,53144
2011,10,21,01,50320
2011,10,21,02,51540
2011,10,21,03,57940
2011,10,21,04,63847
2011,10,21,05,75924
2011,10,21,06,87252
2011,10,21,07,101133
2011,10,21,08,113805
2011,10,21,09,114942
2011,10,21,10,105666
2011,10,21,11,92985
2011,10,21,12,88185
2011,10,21,13,85585
2011,10,21,14,87173
2011,10,21,15,88640
2011,10,21,16,93601
2011,10,21,17,93142
2011,10,21,18,92988
2011,10,21,19,94722
2011,10,21,20,95955
2011,10,21,21,86329
2011,10,21,22,74827
2011,10,21,23,62453
2011,10,22,00,56118
2011,10,22,01,51046
2011,10,22,02,51382
2011,10,22,03,53407
2011,10,22,04,58203
2011,10,22,05,66334
2011,10,22,06,81479
2011,10,22,07,96058
2011,10,22,08,107250
2011,10,22,09,113571
2011,10,22,10,106593
2011,10,22,11,96611
2011,10,22,12,89958
2011,10,22,13,88798
2011,10,22,14,89215
2011,10,22,15,84469
2011,10,22,16,89303
2011,10,22,17,89306
2011,10,22,18,89694
2011,10,22,19,100640
2011,10,22,20,94567
2011,10,22,21,93398
2011,10,22,22,80620
2011,10,22,23,67811
2011,10,23,00,58641
2011,10,23,01,56367
2011,10,23,02,55262
2011,10,23,03,58029
2011,10,23,04,59777
2011,10,23,05,69056
2011,10,23,06,81796
2011,10,23,07,99686
2011,10,23,08,119993
2011,10,23,09,113280
2011,10,23,10,107028
2011,10,23,11,100842
2011,10,23,12,96417
2011,10,23,13,100981
2011,10,23,14,99725
2011,10,23,15,98420
2011,10,23,16,99908
2011,10,23,17,103381
2011,10,23,18,105415
2011,10,23,19,106739
2011,10,23,20,102689
2011,10,23,21,93858
2011,10,23,22,76206
2011,10,23,23,60525
2011,10,24,00,51002
2011,10,24,01,48645
2011,10,24,02,52525
2011,10,24,03,55680
2011,10,24,04,65116
2011,10,24,05,77433
2011,10,24,06,90911
2011,10,24,07,105193
2011,10,24,08,115062
2011,10,24,09,115125
2011,10,24,10,102281
2011,10,24,11,94862
2011,10,24,12,89188
2011,10,24,13,91525
2011,10,24,14,95630
2011,10,24,15,102022
2011,10,24,16,105187
2011,10,24,17,108817
2011,10,24,18,110542
2011,10,24,19,111861
2011,10,24,20,105565
2011,10,24,21,94732
2011,10,24,22,73551
2011,10,24,23,60242
2011,10,25,00,50243
2011,10,25,01,47885
2011,10,25,02,45954
2011,10,25,03,57362
2011,10,25,04,65315
2011,10,25,05,77806
2011,10,25,06,89824
2011,10,25,07,104265
2011,10,25,08,112090
2011,10,25,09,113686
2011,10,25,10,102757
2011,10,25,11,93987
2011,10,25,12,89480
2011,10,25,13,91326
2011,10,25,14,97911
2011,10,25,15,100170
2011,10,25,16,108651
2011,10,25,17,110037
2011,10,25,18,110372
2011,10,25,19,110673
2011,10,25,20,105926
2011,10,25,21,93402
2011,10,25,22,76206
2011,10,25,23,59878
2011,10,26,00,53292
2011,10,26,01,48410
2011,10,26,02,51314
2011,10,26,03,56737
2011,10,26,04,68295
2011,10,26,05,77606
2011,10,26,06,90324
2011,10,26,07,104044
2011,10,26,08,115084
2011,10,26,09,113415
2011,10,26,10,101311
2011,10,26,11,91428
2011,10,26,12,89689
2011,10,26,13,91865
2011,10,26,14,97799
2011,10,26,15,100145
2011,10,26,16,106297
2011,10,26,17,100559
2011,10,26,18,108845
2011,10,26,19,109791
2011,10,26,20,103444
2011,10,26,21,93053
2011,10,26,22,72612
2011,10,26,23,60430
2011,10,27,00,51937
2011,10,27,01,50441
2011,10,27,02,52826
2011,10,27,03,56746
2011,10,27,04,65620
2011,10,27,05,78485
2011,10,27,06,94957
2011,10,27,07,106946
2011,10,27,08,114498
2011,10,27,09,113776
2011,10,27,10,105396
2011,10,27,11,94086
2011,10,27,12,89459
2011,10,27,13,91368
2011,10,27,14,96402
2011,10,27,15,99783
2011,10,27,16,106618
2011,10,27,17,108713
2011,10,27,18,106606
2011,10,27,19,113452
2011,10,27,20,106068
2011,10,27,21,95894
2011,10,27,22,86483
2011,10,27,23,65004
2011,10,28,00,53545
2011,10,28,01,50661
2011,10,28,02,52087
2011,10,28,03,59682
2011,10,28,04,66704
2011,10,28,05,80676
2011,10,28,06,94076
2011,10,28,07,110270
2011,10,28,08,116887
2011,10,28,09,118037
2011,10,28,10,106880
